Voucher No.,Date,Particulars,Category,Type,Quantity,AltUnits,Rate,INRvalue,Distributors
PFRN/20-21/2280,07-01-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,600.6,5850,27,157950,A R Traders
PFRN/20-21/2280,07-01-2021,"Priyadarshini 60""Blue",Priyadarshini,Sales,300.84,3750,20,75000,A R Traders
PFRN/20-21/2284,07-01-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,84.54,1800,14.5,26100,A R Traders
PFRN/20-21/2284,07-01-2021,"20 MQ 48"" IVORY",Mesh_Fabrics,Sales,117,1200,23,27600,A R Traders
PFRN/20-21/2284,07-01-2021,"20 MQ 48"" Blue",Mesh_Fabrics,Sales,120.29,1200,23,27600,A R Traders
PFRN/20-21/2338,12-01-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,89.24,1800,14.5,26100,A R Traders
PFRN/20-21/2338,12-01-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,133.08,2700,14.5,39150,A R Traders
PFRN/20-21/2355,13-01-2021,"20 Mesh MQ120""BLUE",Mesh_Fabrics,Sales,118.53,1440,19,27360,A R Traders
PFRN/20-21/2355,13-01-2021,"40 LQ 48""black",Mesh_Fabrics,Sales,126,1800,20,36000,A R Traders
PFRN/20-21/2397,18-01-2021,"30MESHLQ60""B.PINK",Mesh_Fabrics,Sales,40.53,600,21,12600,A R Traders
PFRN/20-21/2397,18-01-2021,"20 MQ 48"" IVORY",Mesh_Fabrics,Sales,178.9,1800,23,41400,A R Traders
PFRN/20-21/2397,18-01-2021,"24 LQ 42"" Black",Mesh_Fabrics,Sales,89.64,1800,14.5,26100,A R Traders
PFRN/20-21/2423,20-01-2021,"Priyadarshini 60""Blue",Priyadarshini,Sales,301.86,3750,20,75000,A R Traders
PFRN/20-21/2446,22-01-2021,"20 MQ 84"" L.Blue",Mesh_Fabrics,Sales,961.12,6480,28,181440,A R Traders
PFRN/20-21/2497,27-01-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,270.96,5400,14.5,78300,A R Traders
PFRN/20-21/2497,27-01-2021,"30 LQ 42"" Green",Mesh_Fabrics,Sales,44.24,900,14.5,13050,A R Traders
PFRN/20-21/2497,27-01-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,44.08,900,14.5,13050,A R Traders
PFRN/20-21/2522,29-01-2021,"20 MQ 42"" Light Blue",Mesh_Fabrics,Sales,107.97,1200,16,19200,A R Traders
PFRN/20-21/2231,04-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,590.07,10000,14,140000,Fair Deal Traders
PFRN/20-21/2244,05-01-2021,"Priyalite 60""Sea Green",Priyalite,Sales,516.32,7500,17,127500,Fair Deal Traders
PFRN/20-21/2259,06-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,572.98,10000,14,140000,Fair Deal Traders
PFRN/20-21/2309,09-01-2021,"Suvasini 54""Blue",Suvasini,Sales,252.91,5000,13.5,67500,Fair Deal Traders
PFRN/20-21/2309,09-01-2021,"Hanuman 54""blue",Hanuman,Sales,240.36,6000,11.5,69000,Fair Deal Traders
PFRN/20-21/2325,11-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,600.3,10000,14,140000,Fair Deal Traders
PFRN/20-21/2333,12-01-2021,"Priyalite 60""Sea Green",Priyalite,Sales,519.22,7500,17,127500,Fair Deal Traders
PFRN/20-21/2337,12-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,563.29,10000,14,140000,Fair Deal Traders
PFRN/20-21/2363,15-01-2021,"Priyalite 60""Sea Green",Priyalite,Sales,624.63,9000,17,153000,Fair Deal Traders
PFRN/20-21/2368,15-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,599.41,10000,14,140000,Fair Deal Traders
PFRN/20-21/2433,21-01-2021,"Lotus 54"" Sky Blue",Lotus,Sales,578.22,10000,14,140000,Fair Deal Traders
PFRN/20-21/2473,25-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,594.38,10000,14,140000,Fair Deal Traders
PFRN/20-21/2474,25-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,578.34,10000,14,140000,Fair Deal Traders
PFRN/20-21/2511,28-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,591.18,10000,14,140000,Fair Deal Traders
PFRN/20-21/2538,30-01-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,555.95,10000,14,140000,Fair Deal Traders
PFRN/20-21/2246,05-01-2021,"20MESHMQ84""GREEN",Mesh_Fabrics,Sales,108.21,720,34,24480,M/s Parameshwa Rao Traders
PFRN/20-21/2246,05-01-2021,"20MESHMQ84""SF BLUE",Mesh_Fabrics,Sales,111.92,720,34,24480,M/s Parameshwa Rao Traders
PFRN/20-21/2403,19-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,232.92,4500,14.5,65250,M/s Parameshwa Rao Traders
PFRN/20-21/2213,02-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,535,6300,13.33,83979,MTR Foods Private Limited
PFRN/20-21/2213,02-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,255,3000,13.33,39990,MTR Foods Private Limited
PFRN/20-21/2213,02-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,405,4500,15.66,70470,MTR Foods Private Limited
PFRN/20-21/2313,09-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,178.5,2100,13.33,27993,MTR Foods Private Limited
PFRN/20-21/2313,09-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,433.5,5100,13.33,67983,MTR Foods Private Limited
PFRN/20-21/2313,09-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,200,2100,15.66,32886,MTR Foods Private Limited
PFRN/20-21/2354,13-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,841,9900,13.33,131967,MTR Foods Private Limited
PFRN/20-21/2415,20-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,270,3000,15.66,46980,MTR Foods Private Limited
PFRN/20-21/2415,20-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,102,1200,13.33,15996,MTR Foods Private Limited
PFRN/20-21/2415,20-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,433,5100,13.33,67983,MTR Foods Private Limited
PFRN/20-21/2472,25-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,399,4200,15.66,65772,MTR Foods Private Limited
PFRN/20-21/2472,25-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,204,2400,13.33,31992,MTR Foods Private Limited
PFRN/20-21/2472,25-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,561,6600,13.33,87978,MTR Foods Private Limited
PFRN/20-21/2537,30-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,357,4200,13.33,55986,MTR Foods Private Limited
PFRN/20-21/2537,30-01-2021,PP Woven Sacks,Mesh_Fabrics,Sales,714,8400,13.33,111972,MTR Foods Private Limited
PFRN/20-21/2247,05-01-2021,"20MQ 42"" BLACK",Mesh_Fabrics,Sales,538.84,6000,16,96000,Raghunath Agarwala
PFRN/20-21/2449,22-01-2021,"Priyalite 84"" Blue",Priyalite,Sales,164.76,1800,26,46800,Raghunath Agarwala
PFRN/20-21/2449,22-01-2021,"Suvasini 54"" Blue (Matic)",Suvasini,Sales,501.37,10000,15,150000,Raghunath Agarwala
PFRN/20-21/2450,22-01-2021,"Priyadarshini 60""Blue",Priyadarshini,Sales,61.82,750,22,16500,Raghunath Agarwala
PFRN/20-21/2450,22-01-2021,"Suvasini 54"" Blue (Matic)",Suvasini,Sales,502.37,10000,15,150000,Raghunath Agarwala
PFRN/20-21/2535,30-01-2021,"Suvasini 54""Blue",Suvasini,Sales,458.28,9000,15,135000,Raghunath Agarwala
PFRN/20-21/2535,30-01-2021,PL60 MARINA BLUE,Mesh_Fabrics,Sales,13.87,200,22,4400,Raghunath Agarwala
PFRN/20-21/2535,30-01-2021,"Priyadarshini 60"" Marina Blue",Priyadarshini,Sales,162.53,2050,22,45100,Raghunath Agarwala
PFRN/20-21/2536,30-01-2021,"Suvasini 54""Blue",Suvasini,Sales,456.42,9000,15,135000,Raghunath Agarwala
PFRN/20-21/2271,06-01-2021,"40 HQ 42"" White",Mesh_Fabrics,Sales,129.63,1200,28,33600,Shew Pratap Nathmull Co.
PFRN/20-21/2361,13-01-2021,"Suvasini 110"" Blue",Suvasini,Sales,103.81,1000,28,28000,Shew Pratap Nathmull Co.
PFRN/20-21/2373,15-01-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,119.3,1800,18.5,33300,Shew Pratap Nathmull Co.
PFRN/20-21/2419,20-01-2021,"Suvasini 110"" Blue",Suvasini,Sales,102.93,1000,28,28000,Shew Pratap Nathmull Co.
PFRN/20-21/2485,27-01-2021,"24 LQ 42"" White",Mesh_Fabrics,Sales,88.44,1800,12.5,22500,Shew Pratap Nathmull Co.
PFRN/20-21/2486,27-01-2021,"Suvasini 110"" Blue",Suvasini,Sales,105.03,1000,28,28000,Shew Pratap Nathmull Co.
PFRN/20-21/2487,27-01-2021,"Hanuman54"" Voilet/Ivory",Hanuman,Sales,31.47,750,11.5,8625,Shew Pratap Nathmull Co.
PFRN/20-21/2487,27-01-2021,"Hanuman 54"" Sky Blue/ivory",Hanuman,Sales,38.09,900,11.5,10350,Shew Pratap Nathmull Co.
PFRN/20-21/2487,27-01-2021,"Hanuman54"" Sea Green/Ivory",Hanuman,Sales,12.3,300,11.5,3450,Shew Pratap Nathmull Co.
PFRN/20-21/2487,27-01-2021,"Hanuman54""Olive Green/Ivory",Hanuman,Sales,35.89,900,11.5,10350,Shew Pratap Nathmull Co.
PFRN/20-21/2487,27-01-2021,"Hanuman 54""BP/Voilet",Hanuman,Sales,32.4,750,11.5,8625,Shew Pratap Nathmull Co.
PFRN/20-21/2498,28-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,180.71,2250,20,45000,Shew Pratap Nathmull Co.
PFRN/20-21/2499,28-01-2021,"20MESHMQ84""WHITE",Mesh_Fabrics,Sales,154.82,900,37,33300,Shew Pratap Nathmull Co.
PFRN/20-21/2500,28-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,182.18,2250,20,45000,Shew Pratap Nathmull Co.
PFRN/20-21/2501,28-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,179.17,2250,20,45000,Shew Pratap Nathmull Co.
PFRN/20-21/2502,28-01-2021,"Suvasini 54""Blue",Suvasini,Sales,143.72,2700,13.5,36450,Shew Pratap Nathmull Co.
PFRN/20-21/2503,28-01-2021,"Suvasini 54""Blue",Suvasini,Sales,141.55,2700,13.5,36450,Shew Pratap Nathmull Co.
PFRN/20-21/2504,28-01-2021,"Hanuman 54""blue",Hanuman,Sales,144.57,3600,11.5,41400,Shew Pratap Nathmull Co.
PFRN/20-21/2505,28-01-2021,"20MESHMQ84""WHITE",Mesh_Fabrics,Sales,99.82,600,37,22200,Shew Pratap Nathmull Co.
PFRN/20-21/2540,30-01-2021,"20 HQ 48"" White",Mesh_Fabrics,Sales,119.68,900,35,31500,Shew Pratap Nathmull Co.
PFRN/20-21/2541,30-01-2021,"24 LQ 42"" White",Mesh_Fabrics,Sales,173.93,3600,12.5,45000,Shew Pratap Nathmull Co.
PFRN/20-21/2542,30-01-2021,"Suvasini 110"" Blue",Suvasini,Sales,106.05,1000,28,28000,Shew Pratap Nathmull Co.
PFRN/20-21/2210,01-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,575.36,10800,14,151200,Sri Balaji Trading Co.
PFRN/20-21/2214,02-01-2021,"16 HQ 42"" Blue",Mesh_Fabrics,Sales,56.26,450,31,13950,Sri Balaji Trading Co.
PFRN/20-21/2214,02-01-2021,"60 HQ 42""  White",Mesh_Fabrics,Sales,60.18,600,42,25200,Sri Balaji Trading Co.
PFRN/20-21/2214,02-01-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,188.28,1800,29,52200,Sri Balaji Trading Co.
PFRN/20-21/2214,02-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,889.9,17280,14,241920,Sri Balaji Trading Co.
PFRN/20-21/2238,04-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,267.75,5400,14,75600,Sri Balaji Trading Co.
PFRN/20-21/2238,04-01-2021,"40 HQ 42"" White",Mesh_Fabrics,Sales,124.72,1200,31,37200,Sri Balaji Trading Co.
PFRN/20-21/2238,04-01-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,121.1,1800,19,34200,Sri Balaji Trading Co.
PFRN/20-21/2251,05-01-2021,"40 HQ 42"" White",Mesh_Fabrics,Sales,124.76,1200,31,37200,Sri Balaji Trading Co.
PFRN/20-21/2251,05-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,60.22,750,23,17250,Sri Balaji Trading Co.
PFRN/20-21/2287,07-01-2021,"Kangaroo Fabric 84"" Blue",Kangaroo,Sales,60.65,500,36,18000,Sri Balaji Trading Co.
PFRN/20-21/2287,07-01-2021,"20 MQ 84"" L.Blue",Mesh_Fabrics,Sales,220.18,1320,32,42240,Sri Balaji Trading Co.
PFRN/20-21/2301,08-01-2021,"30 Mesh MQ 42"" Blue",Mesh_Fabrics,Sales,60.5,900,20,18000,Sri Balaji Trading Co.
PFRN/20-21/2301,08-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,573.37,10800,14,151200,Sri Balaji Trading Co.
PFRN/20-21/2317,09-01-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,117.09,1800,19,34200,Sri Balaji Trading Co.
PFRN/20-21/2317,09-01-2021,"40 HQ 42"" White",Mesh_Fabrics,Sales,124.78,1200,31,37200,Sri Balaji Trading Co.
PFRN/20-21/2329,11-01-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,135.22,1350,29,39150,Sri Balaji Trading Co.
PFRN/20-21/2339,12-01-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,118.78,2000,16,32000,Sri Balaji Trading Co.
PFRN/20-21/2383,16-01-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,43.78,900,15,13500,Sri Balaji Trading Co.
PFRN/20-21/2400,18-01-2021,"30 HQ 48"" Blue",Mesh_Fabrics,Sales,50.34,250,248.31,12500,Sri Balaji Trading Co.
PFRN/20-21/2400,18-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,546.72,10800,276.56,151200,Sri Balaji Trading Co.
PFRN/20-21/2406,19-01-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,134.21,1350,29,39150,Sri Balaji Trading Co.
PFRN/20-21/2406,19-01-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,120.83,2000,16,32000,Sri Balaji Trading Co.
PFRN/20-21/2406,19-01-2021,"Priyalite 54"" Blue",Priyalite,Sales,60.89,1000,16,16000,Sri Balaji Trading Co.
PFRN/20-21/2406,19-01-2021,"12MESH HQ 42""BLUE",Mesh_Fabrics,Sales,208.62,1440,36,51840,Sri Balaji Trading Co.
PFRN/20-21/2439,21-01-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,191.32,1800,29,52200,Sri Balaji Trading Co.
PFRN/20-21/2452,22-01-2021,"20 MQ 84"" L.Blue",Mesh_Fabrics,Sales,112.04,660,29,19140,Sri Balaji Trading Co.
PFRN/20-21/2466,23-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,60.12,500,36,18000,Sri Balaji Trading Co.
PFRN/20-21/2477,25-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,140.62,2700,14,37800,Sri Balaji Trading Co.
PFRN/20-21/2477,25-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,188.72,1800,29,52200,Sri Balaji Trading Co.
PFRN/20-21/2492,27-01-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,122.97,2000,16,32000,Sri Balaji Trading Co.
PFRN/20-21/2492,27-01-2021,"20MESHMQ84""SF BLUE",Mesh_Fabrics,Sales,225.46,1440,34,48960,Sri Balaji Trading Co.
PFRN/20-21/2492,27-01-2021,"20 HQ 42"" White",Mesh_Fabrics,Sales,51.75,450,32,14400,Sri Balaji Trading Co.
PFRN/20-21/2492,27-01-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,46.33,900,15,13500,Sri Balaji Trading Co.
PFRN/20-21/2492,27-01-2021,20MESHMQ84BLUE,Mesh_Fabrics,Sales,153.42,900,38,34200,Sri Balaji Trading Co.
PFRN/20-21/2492,27-01-2021,"40 Mesh MQ42""White(Red Border)",Mesh_Fabrics,Sales,51.36,600,23,13800,Sri Balaji Trading Co.
PFRN/20-21/2492,27-01-2021,"Priyalite 54"" Blue",Priyalite,Sales,125.84,2000,16,32000,Sri Balaji Trading Co.
PFRN/20-21/2493,27-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,512.98,10800,13,140400,Sri Balaji Trading Co.
PFRN/20-21/2508,28-01-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,120.88,1800,19,34200,Sri Balaji Trading Co.
PFRN/20-21/2508,28-01-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,125.38,2000,16,32000,Sri Balaji Trading Co.
PFRN/20-21/2508,28-01-2021,"20MESHMQ84""LIGHT ORANGE",Mesh_Fabrics,Sales,55,390,31,12090,Sri Balaji Trading Co.
PFRN/20-21/2508,28-01-2021,"20 MQ 84"" L.Blue",Mesh_Fabrics,Sales,112.18,660,29,19140,Sri Balaji Trading Co.
PFRN/20-21/2508,28-01-2021,"20 MQ 42"" Light Blue",Mesh_Fabrics,Sales,110.63,1200,15.5,18600,Sri Balaji Trading Co.
PFRN/20-21/2523,29-01-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,119.09,1800,19,34200,Sri Balaji Trading Co.
PFRN/20-21/2523,29-01-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,554.64,10800,14,151200,Sri Balaji Trading Co.
PFRN/20-21/2549,30-01-2021,"8Mesh Hq 42"" Blue",Mesh_Fabrics,Sales,38.89,300,31,9300,Sri Balaji Trading Co.
PFRN/20-21/2549,30-01-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,41.64,900,15,13500,Sri Balaji Trading Co.
PFRN/20-21/2549,30-01-2021,"30 Mesh MQ 42"" Blue",Mesh_Fabrics,Sales,122.3,1800,20,36000,Sri Balaji Trading Co.
PFRN/20-21/2207,01-01-2021,"Suvasini 54""Blue",Suvasini,Sales,229.76,4500,13.5,60750,Srilal Pachisia & Co.
PFRN/20-21/2209,01-01-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,133.38,2250,15.5,34875,Srilal Pachisia & Co.
PFRN/20-21/2209,01-01-2021,"Priyalite 54"" Blue",Priyalite,Sales,132.62,2250,15.5,34875,Srilal Pachisia & Co.
PFRN/20-21/2255,06-01-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,263.12,3750,18,67500,Srilal Pachisia & Co.
PFRN/20-21/2257,06-01-2021,"Suvasini 54""Blue",Suvasini,Sales,225.65,4500,13.5,60750,Srilal Pachisia & Co.
PFRN/20-21/2272,06-01-2021,"Hanuman 54""blue",Hanuman,Sales,238.43,6000,11.5,69000,Srilal Pachisia & Co.
PFRN/20-21/2417,20-01-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,260,3750,18,67500,Srilal Pachisia & Co.
PFRN/20-21/2418,20-01-2021,"Hanuman 54""BP/Voilet",Hanuman,Sales,21.08,500,11.5,5750,Srilal Pachisia & Co.
PFRN/20-21/2418,20-01-2021,"Hanuman54"" Voilet/Ivory",Hanuman,Sales,21.74,500,11.5,5750,Srilal Pachisia & Co.
PFRN/20-21/2418,20-01-2021,"Hanuman 54"" Sky Blue/ivory",Hanuman,Sales,24.57,600,11.5,6900,Srilal Pachisia & Co.
PFRN/20-21/2418,20-01-2021,"Hanuman 54"" Sky Blue/ivory",Hanuman,Sales,8.29,200,11.5,2300,Srilal Pachisia & Co.
PFRN/20-21/2418,20-01-2021,"Hanuman54""Olive Green/Ivory",Hanuman,Sales,24.42,600,11.5,6900,Srilal Pachisia & Co.
PFRN/20-21/2418,20-01-2021,"Hanuman 54""blue",Hanuman,Sales,151.51,3600,11.5,41400,Srilal Pachisia & Co.
PFRN/20-21/2430,21-01-2021,"Suvasini 54""Blue",Suvasini,Sales,230.16,4500,13.5,60750,Srilal Pachisia & Co.
PFRN/20-21/2432,21-01-2021,"Lotus 54"" Violet",Lotus,Sales,37.8,750,14,10500,Srilal Pachisia & Co.
PFRN/20-21/2432,21-01-2021,"Lotus 54"" Sky Blue",Lotus,Sales,100.53,2000,14,28000,Srilal Pachisia & Co.
PFRN/20-21/2432,21-01-2021,"Lotus 54"" Light Sea Green",Lotus,Sales,80.72,1500,14,21000,Srilal Pachisia & Co.
PFRN/20-21/2432,21-01-2021,"Lotus 54"" Badam Pink",Lotus,Sales,37.06,750,14,10500,Srilal Pachisia & Co.
PFRN/20-21/2517,29-01-2021,"Suvasini 54""Blue",Suvasini,Sales,231.19,4500,13.5,60750,Srilal Pachisia & Co.
PFRN/20-21/2519,29-01-2021,"Hanuman 54""blue",Hanuman,Sales,248.1,6000,11.5,69000,Srilal Pachisia & Co.
PFRN/20-21/2520,29-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,308.01,3750,20,75000,Srilal Pachisia & Co.
PFRN/20-21/2237,04-01-2021,"20 MQ 42"" White",Mesh_Fabrics,Sales,150.66,1800,19,34200,Sri Venkateshwara Fibre Udyog Pvt. Ltd
PFRN/20-21/2237,04-01-2021,"20MQ 42"" BLACK",Mesh_Fabrics,Sales,160.49,1800,15,27000,Sri Venkateshwara Fibre Udyog Pvt. Ltd
PFRN/20-21/2237,04-01-2021,"30 LQ 42"" Green",Mesh_Fabrics,Sales,42.88,900,14,12600,Sri Venkateshwara Fibre Udyog Pvt. Ltd
PFRN/20-21/2237,04-01-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,89.88,1800,14,25200,Sri Venkateshwara Fibre Udyog Pvt. Ltd
PFRN/20-21/2237,04-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,181.03,2250,15,33750,Sri Venkateshwara Fibre Udyog Pvt. Ltd
PFRN/20-21/2237,04-01-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,157.4,2250,13,29250,Sri Venkateshwara Fibre Udyog Pvt. Ltd
